"rank","company_name","revenue_usd_billion","country"
"1","Samsung Electronics","219.21","South Korea"
"2","NVIDIA","148.51","USA"
"3","TSMC","88.34","Taiwan"
"4","Broadcom","57.04","USA"
"5","Intel","53.04","USA"
"6","SK Hynix","50.71","South Korea"
"7","Qualcomm","42.28","USA"
"8","Micron Technology","33.81","USA"
"9","ASML","33.03","Netherlands"
"10","Applied Materials","28.08","USA"
"11","AMD","27.75","USA"
"12","ASE Group","18.79","Taiwan"
"13","Lam Research","17.13","USA"
"14","MediaTek","16.91","Taiwan"
"15","Texas Instruments","16.04","USA"
"16","Infineon Technologies","15.78","Germany"
"17","Tokyo Electron","12.47","Japan"
"18","NXP Semiconductors","12.32","Netherlands"
"19","STMicroelectronics","12.32","Switzerland"
"20","KLA Corporation","11.55","USA"